Churn,Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,Bandwidth_GB_Year
0,0,0,0,1,1,0,1,0,1,1,1,904.5361102
1,1,0,1,1,1,1,1,0,1,0,1,800.9827661
0,1,0,0,1,1,1,0,0,0,0,1,2054.706961
0,1,0,1,0,1,0,0,0,1,0,1,2164.579412
1,0,1,1,0,0,0,0,0,0,0,0,271.4934362
0,0,0,0,1,1,1,0,1,1,1,0,1039.357983
1,1,1,1,1,1,0,0,0,0,0,0,1907.242972
1,1,0,0,0,0,0,0,0,0,1,1,979.6127078
0,0,0,0,0,1,0,0,0,1,1,1,1312.874964
0,0,0,0,1,1,0,0,1,1,0,1,508.7637913
0,0,0,1,0,1,1,0,0,1,1,0,2728.767869
0,0,0,1,0,1,0,0,1,0,0,0,1180.588788
0,0,0,1,0,1,0,0,0,0,0,0,1196.388018
0,0,1,1,0,1,1,1,0,1,0,1,1948.694497
1,0,1,0,0,0,1,0,0,0,1,1,1582.295235
1,0,0,1,1,1,0,0,0,1,0,1,1840.014467
1,0,0,0,1,1,1,0,1,0,1,1,2070.376729
1,0,1,1,1,1,0,0,1,1,0,0,882.0985933
0,1,1,1,0,1,0,0,1,0,1,1,1833.0967
1,0,0,1,0,1,1,0,0,0,0,1,1954.080809
0,0,0,0,1,1,0,0,1,1,1,1,2330.319383
0,0,0,0,0,1,0,1,1,1,0,0,594.1054279
0,0,1,0,0,1,0,0,0,0,0,1,713.0633088
0,0,1,1,0,1,0,0,0,0,0,1,945.3802928
1,0,0,0,1,1,1,1,1,1,0,0,870.76398
1,0,0,0,0,1,0,1,0,0,0,0,774.2937069
1,0,0,1,1,1,0,0,1,1,0,0,1506.446527
1,0,0,1,0,1,0,0,1,0,1,1,419.0508708
1,1,0,1,1,1,0,0,1,0,0,0,1259.415493
1,0,0,1,1,1,1,1,1,1,1,1,1745.125956
0,0,0,1,1,0,0,0,0,0,1,1,1795.465729
0,0,1,0,0,1,1,1,0,0,1,0,492.4771472
1,0,0,1,1,1,0,1,0,0,1,1,1013.993166
1,0,0,1,0,1,1,0,0,1,1,0,2680.762173
1,0,1,1,1,1,1,0,1,1,0,0,1081.814362
1,0,1,0,0,1,1,0,0,1,1,1,1209.961168
1,0,1,0,1,1,1,0,1,1,1,1,897.5919144
0,0,0,0,0,1,1,1,1,1,0,1,1340.930156
0,0,1,0,1,1,0,0,0,1,1,0,1113.993679
0,0,0,0,0,1,0,0,1,0,1,0,1530.10769
0,0,0,1,0,1,0,0,1,0,1,1,1310.137419
0,0,1,0,0,1,0,0,0,1,0,1,892.8964931
1,0,1,1,1,1,1,0,0,1,0,0,1125.581944
0,0,1,0,1,1,1,1,0,0,0,1,2016.710031
1,0,0,1,1,1,1,0,0,1,0,1,1412.736809
1,0,0,1,1,1,1,1,1,1,1,1,1710.689671
1,0,1,0,1,1,0,0,0,1,1,1,2384.885909
1,1,1,0,0,1,1,0,1,1,1,1,1213.940165
0,0,0,1,0,1,0,0,0,0,0,0,740.010722
0,0,1,0,0,1,0,1,0,0,0,1,897.9716153
1,0,1,0,1,1,1,0,1,0,0,0,1026.387172
1,0,0,1,1,1,0,0,1,0,0,1,1234.244324
0,0,0,1,0,1,0,0,1,0,0,1,727.3731845
1,1,0,1,0,1,1,0,0,0,0,1,452.8721504
1,0,0,0,0,1,1,0,1,1,0,1,1296.674543
