Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,const
0,1,0,0,1,1,0,0,0,0,1,157.4698,5730.433744,1
0,0,0,1,0,0,0,1,0,1,0,182.4608,632.4760401,1
0,0,0,1,1,1,0,1,0,0,0,172.470522,901.2877149,1
0,1,1,1,1,0,0,0,0,1,0,222.6143,1477.559089,1
0,0,1,0,0,1,0,0,0,0,0,169.9447,5464.592624,1
0,0,1,0,1,0,0,1,0,0,1,149.9621,4511.138449,1
0,1,1,0,1,1,1,0,0,0,0,182.4538,772.3849869,1
0,1,1,0,1,1,0,1,0,0,0,174.9768,5936.572086,1
0,0,0,1,1,1,0,0,0,0,0,159.9476,5572.923222,1
0,1,1,0,1,1,0,0,1,1,1,187.4673,6031.527231,1
0,1,1,0,1,1,0,1,0,1,1,197.4725,5656.516315,1
0,1,1,0,1,0,1,1,0,1,0,184.967,4262.753521,1
0,1,1,0,1,1,0,1,1,0,0,165.0182,5526.132591,1
0,1,1,0,1,1,0,0,0,1,1,184.9496,4408.149328,1
0,1,1,0,0,0,0,0,0,1,1,172.4441,6101.79747,1
0,0,0,1,1,0,0,0,0,1,0,149.9378,1026.042379,1
0,1,0,1,1,1,0,0,0,0,1,172.456745,1655.780173,1
1,0,0,1,1,1,0,0,1,0,1,182.4653,4507.354465,1
0,0,0,1,1,1,1,0,0,0,0,179.9476,6093.076557,1
0,0,1,1,1,1,0,0,0,0,0,240.1149,5367.063694,1
0,1,1,1,1,0,0,0,0,1,0,222.6143,1654.594921,1
0,0,1,1,1,1,0,1,1,1,1,277.6513,1824.879678,1
0,1,0,0,1,0,0,0,0,0,1,104.9643,1200.247776,1
0,1,1,0,1,1,0,0,0,1,0,204.9496,4721.806173,1
0,0,0,0,1,0,1,1,0,0,0,92.5018,1095.950634,1
0,0,0,0,1,1,0,1,0,1,0,159.9794,1075.372195,1
1,0,1,1,1,1,0,0,0,0,0,240.114868,1877.852717,1
1,0,1,0,1,0,0,0,0,1,0,139.9349,6285.801266,1
0,0,1,1,1,0,0,1,0,1,0,222.6281,1880.847695,1
0,0,0,1,1,0,0,1,1,0,1,162.4827,871.4588583,1
1,0,0,0,0,0,0,0,0,1,1,114.950905,979.6127078,1
