Churn,Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year
0,0,0,0,1,1,0,1,0,1,1,1,172.455519,904.5361102
1,1,0,1,1,1,1,1,0,1,0,1,242.632554,800.9827661
0,1,0,0,1,1,1,0,0,0,0,1,159.947583,2054.706961
0,1,0,1,0,1,0,0,0,1,0,1,119.95684,2164.579412
1,0,1,1,0,0,0,0,0,0,0,0,149.948316,271.4934362
0,0,0,0,1,1,1,0,1,1,1,0,185.007692,1039.357983
1,1,1,1,1,1,0,0,0,0,0,0,200.118516,1907.242972
1,1,0,0,0,0,0,0,0,0,1,1,114.950905,979.6127078
0,0,0,0,0,1,0,0,0,1,1,1,117.468591,1312.874964
0,0,0,0,1,1,0,0,1,1,0,1,162.482694,508.7637913
0,0,0,1,0,1,1,0,0,1,1,0,174.958118,2728.767869
0,0,0,1,0,1,0,0,1,0,0,0,149.962093,1180.588788
0,0,0,1,0,1,0,0,0,0,0,0,137.439154,1196.388018
0,0,1,1,0,1,1,1,0,1,0,1,184.971516,1948.694497
1,0,1,0,0,0,1,0,0,0,1,1,159.965581,1582.295235
1,0,0,1,1,1,0,0,0,1,0,1,177.65076,1840.014467
1,0,0,0,1,1,1,0,1,0,1,1,194.966286,2070.376729
1,0,1,1,1,1,0,0,1,1,0,0,202.682861,882.0985933
0,1,1,1,0,1,0,0,1,0,1,1,152.490739,1833.0967
1,0,0,1,0,1,1,0,0,0,0,1,149.944668,1954.080809
0,0,0,0,1,1,0,0,1,1,1,1,184.978458,2330.319383
0,0,0,0,0,1,0,1,1,1,0,0,127.495766,594.1054279
0,0,1,0,0,1,0,0,0,0,0,1,124.964303,713.0633088
0,0,1,1,0,1,0,0,0,0,0,1,149.948316,945.3802928
1,0,0,0,1,1,1,1,1,1,0,0,162.511928,870.76398
1,0,0,0,0,1,0,1,0,0,0,0,92.455141,774.2937069
1,0,0,1,1,1,0,0,1,1,0,0,222.649979,1506.446527
1,0,0,1,0,1,0,0,1,0,1,1,139.981577,419.0508708
1,1,0,1,1,1,0,0,1,0,0,0,200.132293,1259.415493
1,0,0,1,1,1,1,1,1,1,1,1,257.651257,1745.125956
0,0,0,1,1,0,0,0,0,0,1,1,230.105118,1795.465729
0,0,1,0,0,1,1,1,0,0,1,0,147.489301,492.4771472
1,0,0,1,1,1,0,1,0,0,1,1,230.105118,1013.993166
1,0,0,1,0,1,1,0,0,1,1,0,174.958118,2680.762173
1,0,1,1,1,1,1,0,1,1,0,0,267.664655,1081.814362
1,0,1,0,0,1,1,0,0,1,1,1,162.483267,1209.961168
1,0,1,0,1,1,1,0,1,1,1,1,229.993134,897.5919144
0,0,0,0,0,1,1,1,1,1,0,1,140.00128,1340.930156
0,0,1,0,1,1,0,0,0,1,1,0,184.964681,1113.993679
0,0,0,0,0,1,0,0,1,0,1,0,147.473844,1530.10769
