Bandwidth_GB_Year,MonthlyCharge,Age,Outage_sec_perweek,Income,Population,Churn,Techie,TechSupport,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Area_Rural,Area_Suburban,Area_Urban,Contract_Month-to-month,Contract_One year,Contract_Two Year
5932.680423,197.4876,60,9.515782,12534.97,1709,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
520.8892347,147.471303,73,7.207577411,69444.54,25815,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5559.919752,139.9816,71,13.76037,13044.82,13019,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5393.505389,169.9378,65,9.416598,16462.33,5019,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
745.0493094,252.62403,69,7.191637555,105646.73,1543,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5732.940723,202.4433,68,12.93027,41216.81,839,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6434.683847,240.1149,65,15.44335,42953.62,133,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1227.405249,184.9785,54,9.355553,8996.2,578,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2632.143148,129.9915,58,5.645543,46775.2,1044,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1672.619185,240.1149,77,11.85073,12416.94,13489,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6872.209499,222.6143,37,8.366414,63467.94,1239,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
746.2481195,147.442069,19,9.863350742,65377.87,6140,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1671.835787,202.443347,75,8.825929291,20840.13,40019,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1713.700682,242.610632,79,8.294166484,37198.61,2109,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5338.007308,129.9621,49,8.430619,56905.46,23790,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5517.787412,139.983,49,14.0461,12938.03,3072,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5396.112945,114.9728,30,6.905307,27497.85,932,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
943.490788,164.988941,65,8.541648101,8982.13,2217,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5233.838265,114.9509,80,8.101706,28492.27,537,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
638.2966688,159.965,34,11.61228,17736.57,79996,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5302.002755,230.1344,42,6.390988,24137.89,687,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
482.2768453,134.9509,78,10.94525,28326.47,1153,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1195.475034,149.9447,34,7.580234,6402.95,41149,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5796.999774,124.9643,89,8.402222,84596.35,1191,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
985.96179,245.1612,46,3.977098,40957.31,33328,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4378.519675,172.4404,79,7.172198,113593.3,952,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5885.871902,159.965,40,8.732297,82843.95,8986,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
943.6675679,184.971516,79,9.812128627,14715.35,4711,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5765.465884,174.9699,57,15.23668,51151.76,367,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4625.174903,184.9785,42,7.976555,50973.42,19443,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4431.684055,162.5005,89,2.269867,22554.89,872,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1708.389751,149.9928,19,9.809836,84674.6,1165,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
906.7867988,159.994242,60,8.670379621,43636.68,798,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1825.27674,117.4392,69,10.20766,16066.46,32211,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1227.924743,212.6228,34,14.11844,19366.57,1811,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1039.380833,152.4884,65,12.86848,25519.32,11333,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
6542.285377,187.6094,67,11.57551,18759.85,37080,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2095.858312,172.47417,63,9.474793202,32285.99,196,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6351.617139,287.6427,37,10.28292,18685.16,2047,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5124.938421,217.484,88,10.41772,6362.72,3128,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6611.587446,242.6573,32,13.0051,11048.74,634,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1918.9486,174.9882,38,10.28871,16288.49,1677,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5638.438682,194.9663,21,8.450991,17612.86,27897,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
676.1747964,129.948316,88,7.287197615,36315.29,22547,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6044.025399,117.4835,26,12.53937,21046.8,6460,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3192.755309,129.948316,82,10.98310848,33168.88,15379,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1333.444788,149.962093,80,14.21094097,84805.71,17585,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1537.706248,127.4958,35,10.91458,84147.24,3884,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1045.580948,217.472533,34,10.34140063,13655.62,2510,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5385.903276,152.4798,76,13.93608,81311.64,28558,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
