Tenure,Bandwidth_GB_Year,MonthlyCharge,Age,Outage_sec_perweek,Income,Population,Churn,Techie,TechSupport,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Area_Rural,Area_Suburban,Area_Urban,Contract_Month-to-month,Contract_One year,Contract_Two Year
6.795512947,904.5361102,172.455519,68,7.978322947,28561.99,38,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.156680997,800.9827661,242.632554,27,11.69907956,21704.77,10446,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15.75414408,2054.706961,159.947583,50,10.75280028,9609.57,3735,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17.08722662,2164.579412,119.95684,48,14.91353964,18925.23,13863,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.670971726,271.4934362,149.948316,83,8.147416533,40074.19,11352,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7.000993555,1039.357983,185.007692,83,8.420992898,22660.2,17701,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
13.23677381,1907.242972,200.118516,79,11.18272453,11467.5,2535,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.26425515,979.6127078,114.950905,30,7.791632265,26759.64,23144,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8.220686373,1312.874964,117.468591,49,5.739005915,58634.51,17351,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3.422086139,508.7637913,162.482694,86,8.707823904,50231.4,20193,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19.26726194,2728.767869,174.958118,23,9.341631685,22580.7,555,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10.52199781,1180.588788,149.962093,56,6.68082638,18342.12,33372,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13.01149229,1196.388018,137.439154,83,8.273875452,83671.08,556,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16.87922024,1948.694497,184.971516,29,5.880565591,115114.57,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10.06019902,1582.295235,159.965581,30,11.79073041,64256.81,8165,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13.87001293,1840.014467,177.65076,39,10.79846973,89061.45,2093,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15.78214958,2070.376729,194.966286,63,13.52284721,31659.3,50079,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2.303331273,882.0985933,202.682861,60,9.831166695,44142.81,7249,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
17.10995632,1833.0967,152.490739,61,9.57470568,39262.14,9463,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
12.80615845,1954.080809,149.944668,23,10.92246098,19494.75,3177,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20.45390977,2330.319383,184.978458,38,12.06889188,39624.21,69,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.415991977,594.1054279,127.495766,30,6.984819996,45714.47,14440,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.652298992,713.0633088,124.964303,52,9.372975594,27442.03,381,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8.543717478,945.3802928,149.948316,68,7.109002592,79699.62,2193,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
