Churn,Account_Age,Internet_Service,Data_Usage,Customer_Service_Calls,MonthlyCharge,Source
No,7.0,Yes,905.0,0,172.455519,WGU Telecom Co.
Yes,1.0,Yes,801.0,0,242.632554,WGU Telecom Co.
No,16.0,Yes,2055.0,0,159.947583,WGU Telecom Co.
No,17.0,Yes,2165.0,2,119.95684,WGU Telecom Co.
Yes,2.0,Yes,271.0,2,149.948316,WGU Telecom Co.
No,7.0,No,1039.0,3,185.007692,WGU Telecom Co.
Yes,13.0,Yes,1907.0,0,200.118516,WGU Telecom Co.
Yes,4.0,Yes,980.0,0,114.950905,WGU Telecom Co.
No,8.0,Yes,1313.0,2,117.468591,WGU Telecom Co.
No,3.0,Yes,509.0,1,162.482694,WGU Telecom Co.
No,19.0,Yes,2729.0,0,174.958118,WGU Telecom Co.
No,11.0,Yes,1181.0,1,149.962093,WGU Telecom Co.
No,13.0,Yes,1196.0,0,137.439154,WGU Telecom Co.
No,17.0,Yes,1949.0,1,184.971516,WGU Telecom Co.
Yes,10.0,Yes,1582.0,3,159.965581,WGU Telecom Co.
Yes,14.0,No,1840.0,1,177.65076,WGU Telecom Co.
Yes,16.0,Yes,2070.0,1,194.966286,WGU Telecom Co.
Yes,2.0,No,882.0,3,202.682861,WGU Telecom Co.
No,17.0,No,1833.0,1,152.490739,WGU Telecom Co.
Yes,13.0,Yes,1954.0,1,149.944668,WGU Telecom Co.
No,20.0,Yes,2330.0,0,184.978458,WGU Telecom Co.
No,2.0,Yes,594.0,1,127.495766,WGU Telecom Co.
No,7.0,Yes,713.0,1,124.964303,WGU Telecom Co.
No,9.0,Yes,945.0,0,149.948316,WGU Telecom Co.
Yes,6.0,No,871.0,1,162.511928,WGU Telecom Co.
Yes,4.0,Yes,774.0,1,92.455141,WGU Telecom Co.
Yes,10.0,Yes,1506.0,0,222.649979,WGU Telecom Co.
Yes,1.0,No,419.0,0,139.981577,WGU Telecom Co.
Yes,1.0,Yes,1259.0,2,200.132293,WGU Telecom Co.
Yes,5.0,Yes,1745.0,1,257.651257,WGU Telecom Co.
No,11.0,Yes,1795.0,0,230.105118,WGU Telecom Co.
No,4.0,No,492.0,2,147.489301,WGU Telecom Co.
Yes,5.0,Yes,1014.0,0,230.105118,WGU Telecom Co.
Yes,21.0,Yes,2681.0,1,174.958118,WGU Telecom Co.
Yes,3.0,Yes,1082.0,1,267.664655,WGU Telecom Co.
Yes,5.0,Yes,1210.0,0,162.483267,WGU Telecom Co.
Yes,3.0,Yes,898.0,1,229.993134,WGU Telecom Co.
No,7.0,Yes,1341.0,2,140.00128,WGU Telecom Co.
No,10.0,Yes,1114.0,1,184.964681,WGU Telecom Co.
No,16.0,Yes,1530.0,1,147.473844,WGU Telecom Co.
No,9.0,Yes,1310.0,1,172.457857,WGU Telecom Co.
No,3.0,Yes,893.0,2,107.481989,WGU Telecom Co.
Yes,4.0,Yes,1126.0,1,255.141716,WGU Telecom Co.
No,19.0,Yes,2017.0,0,192.456745,WGU Telecom Co.
Yes,9.0,Yes,1413.0,0,242.632554,WGU Telecom Co.
Yes,10.0,No,1711.0,1,245.174977,WGU Telecom Co.
Yes,22.0,Yes,2385.0,1,184.964681,WGU Telecom Co.
Yes,9.0,Yes,1214.0,1,195.006206,WGU Telecom Co.
No,8.0,No,740.0,2,104.962874,WGU Telecom Co.
No,12.0,No,898.0,0,92.488023,WGU Telecom Co.
Yes,3.0,Yes,1026.0,3,184.979684,WGU Telecom Co.
Yes,7.0,No,1234.0,1,187.656013,WGU Telecom Co.
No,5.0,Yes,727.0,0,149.962093,WGU Telecom Co.
Yes,2.0,Yes,453.0,0,169.944668,WGU Telecom Co.
Yes,12.0,Yes,1297.0,2,160.00128,WGU Telecom Co.
No,14.0,Yes,1841.0,1,129.962093,WGU Telecom Co.
Yes,10.0,Yes,1324.0,0,114.950905,WGU Telecom Co.
No,7.0,No,958.0,0,142.515576,WGU Telecom Co.
Yes,16.0,No,1869.0,2,220.14775,WGU Telecom Co.
No,7.0,Yes,677.0,1,124.97808,WGU Telecom Co.
No,3.0,Yes,1087.0,1,164.964681,WGU Telecom Co.
No,2.0,Yes,705.0,3,194.976769,WGU Telecom Co.
Yes,8.0,Yes,1416.0,3,152.455519,WGU Telecom Co.
No,12.0,No,1096.0,0,92.5018,WGU Telecom Co.
No,10.0,No,1084.0,0,127.488728,WGU Telecom Co.
No,8.0,Yes,1571.0,1,184.963371,WGU Telecom Co.
Yes,4.0,Yes,1007.0,0,265.146969,WGU Telecom Co.
Yes,11.0,Yes,1323.0,1,207.609354,WGU Telecom Co.
No,12.0,Yes,1809.0,0,152.462354,WGU Telecom Co.
Yes,2.0,Yes,1120.0,2,200.132293,WGU Telecom Co.
Yes,24.0,No,2677.0,0,212.655686,WGU Telecom Co.
Yes,4.0,Yes,1268.0,0,255.119794,WGU Telecom Co.
No,8.0,Yes,823.0,0,134.950905,WGU Telecom Co.
Yes,9.0,Yes,1578.0,0,255.137219,WGU Telecom Co.
Yes,2.0,Yes,649.0,0,214.966286,WGU Telecom Co.
Yes,5.0,Yes,1648.0,0,270.160419,WGU Telecom Co.
Yes,1.0,No,768.0,0,200.165175,WGU Telecom Co.
No,20.0,Yes,2426.0,2,149.937833,WGU Telecom Co.
Yes,25.0,Yes,2661.0,1,240.114868,WGU Telecom Co.
No,10.0,Yes,1130.0,0,127.495766,WGU Telecom Co.
Yes,10.0,Yes,1771.0,2,187.609354,WGU Telecom Co.
No,8.0,Yes,943.0,1,169.992756,WGU Telecom Co.
No,19.0,Yes,1907.0,3,192.456745,WGU Telecom Co.
No,14.0,Yes,1886.0,1,120.004928,WGU Telecom Co.
No,2.0,Yes,632.0,0,195.006206,WGU Telecom Co.
No,2.0,Yes,563.0,1,139.95684,WGU Telecom Co.
No,5.0,No,594.0,3,114.983787,WGU Telecom Co.
Yes,4.0,No,777.0,1,207.638588,WGU Telecom Co.
Yes,4.0,Yes,1393.0,4,187.609354,WGU Telecom Co.
No,4.0,Yes,394.0,0,134.950905,WGU Telecom Co.
Yes,2.0,Yes,410.0,0,192.470522,WGU Telecom Co.
Yes,14.0,Yes,2138.0,1,222.628057,WGU Telecom Co.
No,3.0,Yes,444.0,1,162.468917,WGU Telecom Co.
Yes,20.0,Yes,2481.0,1,159.979358,WGU Telecom Co.
No,18.0,Yes,2234.0,1,184.979684,WGU Telecom Co.
Yes,5.0,Yes,1159.0,0,245.145743,WGU Telecom Co.
No,7.0,Yes,529.0,0,124.97808,WGU Telecom Co.
Yes,13.0,Yes,1957.0,1,187.484705,WGU Telecom Co.
No,20.0,Yes,2056.0,1,162.500692,WGU Telecom Co.
No,7.0,Yes,1067.0,1,182.467607,WGU Telecom Co.
Yes,14.0,No,1806.0,1,222.660939,WGU Telecom Co.
No,11.0,Yes,1398.0,1,182.467607,WGU Telecom Co.
Yes,3.0,No,808.0,1,220.161527,WGU Telecom Co.
No,17.0,Yes,1887.0,1,169.937833,WGU Telecom Co.
Yes,23.0,Yes,2295.0,0,204.963371,WGU Telecom Co.
Yes,4.0,Yes,826.0,2,204.963371,WGU Telecom Co.
Yes,11.0,Yes,2073.0,1,245.128318,WGU Telecom Co.
Yes,13.0,No,1437.0,0,172.473314,WGU Telecom Co.
Yes,15.0,Yes,1963.0,2,172.456745,WGU Telecom Co.
Yes,9.0,Yes,1324.0,0,194.976769,WGU Telecom Co.
No,5.0,Yes,705.0,1,137.439154,WGU Telecom Co.
Yes,7.0,Yes,889.0,3,192.470522,WGU Telecom Co.
Yes,3.0,Yes,377.0,1,159.951231,WGU Telecom Co.
No,18.0,Yes,1606.0,0,112.455141,WGU Telecom Co.
Yes,13.0,Yes,1431.0,2,174.961766,WGU Telecom Co.
No,23.0,Yes,2254.0,3,162.452604,WGU Telecom Co.
No,6.0,Yes,1353.0,1,137.483594,WGU Telecom Co.
No,13.0,Yes,1701.0,3,275.133571,WGU Telecom Co.
Yes,7.0,Yes,1291.0,1,127.442069,WGU Telecom Co.
Yes,9.0,No,1403.0,2,210.138,WGU Telecom Co.
No,22.0,Yes,2604.0,1,147.456419,WGU Telecom Co.
Yes,5.0,No,1256.0,2,242.657291,WGU Telecom Co.
No,10.0,No,981.0,2,114.983787,WGU Telecom Co.
No,8.0,No,1348.0,2,187.656013,WGU Telecom Co.
No,8.0,No,1127.0,3,149.991327,WGU Telecom Co.
No,7.0,Yes,1270.0,0,124.960655,WGU Telecom Co.
Yes,5.0,No,1039.0,0,220.161527,WGU Telecom Co.
No,10.0,Yes,1531.0,0,172.48852,WGU Telecom Co.
No,4.0,Yes,991.0,0,120.004928,WGU Telecom Co.
Yes,5.0,No,1244.0,4,220.161527,WGU Telecom Co.
Yes,6.0,Yes,1162.0,0,139.965008,WGU Telecom Co.
No,3.0,Yes,577.0,1,159.951231,WGU Telecom Co.
Yes,9.0,Yes,1443.0,1,184.949594,WGU Telecom Co.
Yes,10.0,Yes,1577.0,0,252.637807,WGU Telecom Co.
No,9.0,Yes,887.0,1,112.455141,WGU Telecom Co.
No,8.0,Yes,1065.0,0,179.979358,WGU Telecom Co.
No,6.0,Yes,952.0,0,202.443347,WGU Telecom Co.
No,7.0,Yes,1404.0,2,197.472533,WGU Telecom Co.
Yes,15.0,Yes,1926.0,3,255.155493,WGU Telecom Co.
Yes,12.0,Yes,1805.0,0,174.976769,WGU Telecom Co.
No,4.0,Yes,701.0,1,169.992756,WGU Telecom Co.
Yes,3.0,Yes,513.0,1,192.440432,WGU Telecom Co.
No,3.0,Yes,717.0,0,182.460772,WGU Telecom Co.
No,5.0,Yes,1313.0,2,139.965008,WGU Telecom Co.
Yes,3.0,No,819.0,1,137.461553,WGU Telecom Co.
Yes,3.0,Yes,882.0,2,217.472533,WGU Telecom Co.
Yes,3.0,No,725.0,1,210.138,WGU Telecom Co.
No,16.0,Yes,1829.0,2,104.964303,WGU Telecom Co.
Yes,12.0,Yes,1668.0,1,262.610632,WGU Telecom Co.
Yes,7.0,No,1124.0,2,152.488401,WGU Telecom Co.
Yes,6.0,Yes,1316.0,2,174.974431,WGU Telecom Co.
No,15.0,Yes,1637.0,0,220.118516,WGU Telecom Co.
No,6.0,Yes,952.0,0,162.452604,WGU Telecom Co.
Yes,3.0,Yes,1248.0,2,184.961033,WGU Telecom Co.
No,19.0,Yes,2220.0,3,217.483972,WGU Telecom Co.
No,14.0,Yes,1669.0,2,220.118516,WGU Telecom Co.
Yes,8.0,No,990.0,1,187.642236,WGU Telecom Co.
No,6.0,Yes,968.0,2,174.961766,WGU Telecom Co.
Yes,20.0,Yes,2190.0,0,252.637807,WGU Telecom Co.
No,15.0,No,1446.0,1,130.024412,WGU Telecom Co.
Yes,3.0,Yes,529.0,2,162.482694,WGU Telecom Co.
Yes,12.0,Yes,1296.0,2,182.467607,WGU Telecom Co.
No,6.0,Yes,1195.0,0,139.934918,WGU Telecom Co.
Yes,11.0,No,1700.0,1,200.165175,WGU Telecom Co.
Yes,16.0,No,2121.0,0,202.682861,WGU Telecom Co.
No,13.0,Yes,1238.0,0,159.951231,WGU Telecom Co.
No,8.0,Yes,847.0,2,149.948316,WGU Telecom Co.
Yes,8.0,Yes,1113.0,1,149.959755,WGU Telecom Co.
No,12.0,Yes,1623.0,0,137.469817,WGU Telecom Co.
Yes,10.0,No,1480.0,0,187.656013,WGU Telecom Co.
Yes,16.0,Yes,2145.0,1,164.985293,WGU Telecom Co.
Yes,14.0,Yes,1522.0,0,159.965008,WGU Telecom Co.
No,19.0,Yes,1975.0,1,172.462354,WGU Telecom Co.
Yes,10.0,Yes,1261.0,0,204.949594,WGU Telecom Co.
No,7.0,Yes,940.0,2,147.473844,WGU Telecom Co.
Yes,13.0,Yes,1357.0,3,162.471255,WGU Telecom Co.
No,9.0,Yes,1457.0,0,119.95684,WGU Telecom Co.
Yes,4.0,Yes,938.0,2,207.609354,WGU Telecom Co.
No,3.0,No,830.0,1,194.999168,WGU Telecom Co.
No,6.0,Yes,738.0,1,174.975543,WGU Telecom Co.
Yes,16.0,Yes,1782.0,2,240.114868,WGU Telecom Co.
Yes,23.0,Yes,2465.0,1,240.114868,WGU Telecom Co.
No,17.0,Yes,2392.0,0,139.983006,WGU Telecom Co.
Yes,13.0,Yes,1664.0,0,240.114868,WGU Telecom Co.
Yes,5.0,Yes,1434.0,3,209.993134,WGU Telecom Co.
No,4.0,Yes,823.0,3,147.456419,WGU Telecom Co.
No,8.0,Yes,1468.0,0,107.495766,WGU Telecom Co.
Yes,2.0,No,591.0,5,152.502178,WGU Telecom Co.
No,6.0,No,419.0,2,79.978861,WGU Telecom Co.
No,7.0,Yes,1182.0,2,142.482694,WGU Telecom Co.
No,1.0,Yes,733.0,1,117.439154,WGU Telecom Co.
Yes,12.0,Yes,1719.0,2,220.132293,WGU Telecom Co.
Yes,3.0,Yes,1206.0,3,152.455519,WGU Telecom Co.
No,10.0,Yes,1261.0,2,174.961766,WGU Telecom Co.
Yes,4.0,Yes,742.0,1,202.443347,WGU Telecom Co.
Yes,3.0,Yes,933.0,2,210.12704,WGU Telecom Co.
No,16.0,No,1709.0,0,139.979239,WGU Telecom Co.
No,6.0,Yes,1364.0,0,139.965008,WGU Telecom Co.
No,4.0,Yes,472.0,1,137.439154,WGU Telecom Co.
No,3.0,No,558.0,1,102.474625,WGU Telecom Co.
Yes,1.0,Yes,815.0,3,252.637807,WGU Telecom Co.
Yes,19.0,No,2007.0,0,194.999168,WGU Telecom Co.
Yes,12.0,Yes,2088.0,1,242.610632,WGU Telecom Co.
No,14.0,No,1431.0,2,127.458638,WGU Telecom Co.
No,4.0,No,822.0,1,129.976324,WGU Telecom Co.
Yes,18.0,Yes,2059.0,4,240.114868,WGU Telecom Co.
No,3.0,Yes,618.0,1,174.975543,WGU Telecom Co.
No,6.0,Yes,758.0,0,169.944668,WGU Telecom Co.
Yes,5.0,No,895.0,0,162.511928,WGU Telecom Co.
No,12.0,Yes,1640.0,1,119.95684,WGU Telecom Co.
No,5.0,Yes,711.0,0,137.439154,WGU Telecom Co.
No,8.0,Yes,1092.0,1,207.46728,WGU Telecom Co.
No,1.0,Yes,757.0,0,149.974105,WGU Telecom Co.
No,20.0,No,2302.0,0,225.178625,WGU Telecom Co.
Yes,16.0,Yes,2401.0,2,232.637807,WGU Telecom Co.
No,16.0,No,1536.0,2,117.472036,WGU Telecom Co.
No,12.0,Yes,1537.0,1,137.469817,WGU Telecom Co.
No,16.0,Yes,2154.0,1,220.132293,WGU Telecom Co.
No,21.0,Yes,2409.0,0,124.960655,WGU Telecom Co.
No,5.0,Yes,1343.0,0,199.990219,WGU Telecom Co.
Yes,3.0,Yes,1046.0,0,159.947583,WGU Telecom Co.
Yes,5.0,Yes,1204.0,1,245.145743,WGU Telecom Co.
Yes,10.0,Yes,1617.0,2,255.155493,WGU Telecom Co.
No,3.0,Yes,345.0,1,134.950905,WGU Telecom Co.
Yes,7.0,Yes,1427.0,1,159.947583,WGU Telecom Co.
No,10.0,Yes,1452.0,3,139.987503,WGU Telecom Co.
Yes,6.0,Yes,795.0,2,179.947583,WGU Telecom Co.
No,9.0,Yes,1334.0,0,127.473844,WGU Telecom Co.
Yes,5.0,Yes,1402.0,1,232.637807,WGU Telecom Co.
Yes,12.0,Yes,1447.0,1,195.006206,WGU Telecom Co.
Yes,5.0,Yes,1663.0,1,267.642733,WGU Telecom Co.
No,18.0,Yes,1708.0,1,149.959755,WGU Telecom Co.
Yes,15.0,Yes,2182.0,2,220.114868,WGU Telecom Co.
No,16.0,Yes,1576.0,3,157.483594,WGU Telecom Co.
No,8.0,No,1029.0,3,127.474951,WGU Telecom Co.
No,24.0,No,2370.0,1,139.981577,WGU Telecom Co.
Yes,26.0,Yes,3310.0,1,255.133571,WGU Telecom Co.
Yes,9.0,Yes,1623.0,1,194.966286,WGU Telecom Co.
No,13.0,Yes,1146.0,2,179.965581,WGU Telecom Co.
Yes,17.0,Yes,2229.0,0,174.976769,WGU Telecom Co.
No,20.0,Yes,2512.0,0,187.609354,WGU Telecom Co.
No,12.0,Yes,1297.0,0,169.937833,WGU Telecom Co.
No,3.0,No,283.0,2,115.002061,WGU Telecom Co.
Yes,14.0,Yes,1948.0,2,152.462354,WGU Telecom Co.
Yes,5.0,Yes,849.0,1,207.609354,WGU Telecom Co.
No,23.0,No,2131.0,0,147.503078,WGU Telecom Co.
No,6.0,Yes,1464.0,0,200.118516,WGU Telecom Co.
No,13.0,No,1382.0,1,137.497825,WGU Telecom Co.
No,12.0,No,1249.0,0,134.980139,WGU Telecom Co.
No,2.0,Yes,558.0,0,147.442069,WGU Telecom Co.
No,2.0,Yes,676.0,0,197.494455,WGU Telecom Co.
No,14.0,No,1642.0,2,162.529926,WGU Telecom Co.
Yes,15.0,No,1812.0,0,210.151777,WGU Telecom Co.
Yes,4.0,Yes,1067.0,2,159.965581,WGU Telecom Co.
Yes,10.0,No,1514.0,3,190.173699,WGU Telecom Co.
Yes,1.0,Yes,1190.0,0,202.649979,WGU Telecom Co.
No,12.0,Yes,1114.0,2,134.950905,WGU Telecom Co.
No,2.0,Yes,1078.0,1,142.500692,WGU Telecom Co.
No,7.0,No,854.0,0,114.997564,WGU Telecom Co.
Yes,7.0,Yes,1489.0,1,232.62403,WGU Telecom Co.
Yes,11.0,Yes,1649.0,1,242.628057,WGU Telecom Co.
Yes,3.0,Yes,905.0,0,202.443347,WGU Telecom Co.
