Churn,Internet_Service,Data_Usage,Customer_Service_Calls,MonthlyCharge,Account_Age,Source
No,Yes,32.0,1,89.0,29.0,Kaggle Competitor
No,Yes,44.0,1,82.0,25.0,Kaggle Competitor
No,No,0.0,0,52.0,32.0,Kaggle Competitor
No,No,0.0,2,57.0,19.0,Kaggle Competitor
No,No,0.0,3,41.0,17.0,Kaggle Competitor
No,No,0.0,0,57.0,27.0,Kaggle Competitor
No,Yes,24.0,3,87.3,28.0,Kaggle Competitor
No,No,0.0,0,36.0,34.0,Kaggle Competitor
No,No,2.0,1,63.9,27.0,Kaggle Competitor
No,Yes,36.0,0,93.2,32.0,Kaggle Competitor
Yes,No,3.0,4,44.9,15.0,Kaggle Competitor
No,No,4.0,0,49.4,17.0,Kaggle Competitor
No,No,0.0,1,31.0,39.0,Kaggle Competitor
No,No,5.0,3,52.4,22.0,Kaggle Competitor
No,No,0.0,4,47.0,14.0,Kaggle Competitor
Yes,No,0.0,4,84.0,37.0,Kaggle Competitor
No,Yes,45.0,1,95.3,20.0,Kaggle Competitor
No,No,0.0,3,51.0,21.0,Kaggle Competitor
No,Yes,32.0,1,78.0,17.0,Kaggle Competitor
No,No,0.0,1,52.0,17.0,Kaggle Competitor
No,No,4.0,0,50.1,34.0,Kaggle Competitor
Yes,No,0.0,5,26.0,18.0,Kaggle Competitor
No,No,0.0,0,38.0,30.0,Kaggle Competitor
No,No,5.0,2,34.9,26.0,Kaggle Competitor
No,No,0.0,0,35.0,30.0,Kaggle Competitor
No,No,0.0,3,45.0,40.0,Kaggle Competitor
No,Yes,31.0,0,78.7,13.0,Kaggle Competitor
No,No,0.0,3,37.0,12.0,Kaggle Competitor
No,No,4.0,0,58.2,5.0,Kaggle Competitor
No,No,3.0,1,41.1,11.0,Kaggle Competitor
No,No,0.0,2,27.0,33.0,Kaggle Competitor
No,No,0.0,1,56.0,17.0,Kaggle Competitor
No,No,0.0,3,39.0,40.0,Kaggle Competitor
Yes,No,0.0,1,64.0,3.0,Kaggle Competitor
No,Yes,27.0,0,69.4,13.0,Kaggle Competitor
No,Yes,48.0,3,95.7,17.0,Kaggle Competitor
No,Yes,47.0,0,78.2,8.0,Kaggle Competitor
No,No,0.0,1,42.0,18.0,Kaggle Competitor
No,Yes,34.0,3,79.4,31.0,Kaggle Competitor
No,No,0.0,1,47.0,34.0,Kaggle Competitor
No,No,4.0,3,39.0,23.0,Kaggle Competitor
Yes,Yes,47.0,0,86.4,31.0,Kaggle Competitor
No,No,0.0,2,46.0,8.0,Kaggle Competitor
No,No,5.0,3,32.8,37.0,Kaggle Competitor
No,No,3.0,1,48.4,15.0,Kaggle Competitor
No,Yes,28.0,2,62.0,14.0,Kaggle Competitor
No,No,0.0,3,50.0,15.0,Kaggle Competitor
No,No,4.0,2,47.5,33.0,Kaggle Competitor
Yes,No,0.0,5,47.0,27.0,Kaggle Competitor
No,Yes,36.0,1,71.7,22.0,Kaggle Competitor
No,No,4.0,3,59.2,12.0,Kaggle Competitor
No,No,0.0,1,56.0,14.0,Kaggle Competitor
No,No,0.0,2,48.0,2.0,Kaggle Competitor
No,No,3.0,2,52.1,22.0,Kaggle Competitor
Yes,No,0.0,5,45.0,20.0,Kaggle Competitor
No,No,1.0,1,53.1,19.0,Kaggle Competitor
No,No,0.0,1,37.0,32.0,Kaggle Competitor
Yes,Yes,19.0,3,56.7,28.0,Kaggle Competitor
No,No,0.0,3,47.0,16.0,Kaggle Competitor
No,No,0.0,1,55.0,29.0,Kaggle Competitor
No,No,0.0,1,48.0,40.0,Kaggle Competitor
No,Yes,38.0,2,92.3,27.0,Kaggle Competitor
No,Yes,47.0,2,93.4,17.0,Kaggle Competitor
No,Yes,41.0,3,81.0,34.0,Kaggle Competitor
No,No,0.0,2,37.0,9.0,Kaggle Competitor
No,Yes,20.0,2,56.7,9.0,Kaggle Competitor
No,No,0.0,0,61.0,10.0,Kaggle Competitor
No,No,0.0,0,39.0,26.0,Kaggle Competitor
No,No,0.0,1,55.0,29.0,Kaggle Competitor
Yes,No,0.0,4,45.0,35.0,Kaggle Competitor
No,No,0.0,3,56.0,32.0,Kaggle Competitor
No,Yes,39.0,0,87.7,37.0,Kaggle Competitor
No,No,0.0,3,55.0,34.0,Kaggle Competitor
No,No,0.0,1,54.0,21.0,Kaggle Competitor
No,No,0.0,0,54.0,20.0,Kaggle Competitor
No,No,0.0,1,46.0,12.0,Kaggle Competitor
Yes,No,3.0,0,69.1,19.0,Kaggle Competitor
Yes,No,3.0,4,20.1,33.0,Kaggle Competitor
No,No,3.0,2,53.6,11.0,Kaggle Competitor
No,No,4.0,1,46.0,16.0,Kaggle Competitor
No,No,0.0,1,60.0,33.0,Kaggle Competitor
No,No,4.0,3,58.0,27.0,Kaggle Competitor
No,Yes,36.0,3,69.7,13.0,Kaggle Competitor
No,Yes,32.0,1,91.5,16.0,Kaggle Competitor
Yes,No,0.0,2,57.0,24.0,Kaggle Competitor
No,Yes,28.0,0,73.2,29.0,Kaggle Competitor
Yes,No,0.0,4,41.0,22.0,Kaggle Competitor
No,No,0.0,1,55.0,26.0,Kaggle Competitor
No,Yes,35.0,2,66.4,17.0,Kaggle Competitor
Yes,No,0.0,1,62.0,29.0,Kaggle Competitor
No,No,2.0,1,43.7,19.0,Kaggle Competitor
Yes,No,0.0,0,51.0,36.0,Kaggle Competitor
No,No,0.0,1,36.0,18.0,Kaggle Competitor
No,No,0.0,3,59.0,18.0,Kaggle Competitor
No,No,0.0,3,47.0,21.0,Kaggle Competitor
No,No,4.0,1,58.0,24.0,Kaggle Competitor
No,No,0.0,0,46.0,17.0,Kaggle Competitor
No,No,0.0,4,52.0,23.0,Kaggle Competitor
Yes,No,0.0,1,54.0,28.0,Kaggle Competitor
Yes,No,0.0,2,61.0,18.0,Kaggle Competitor
No,Yes,14.0,4,60.9,23.0,Kaggle Competitor
No,No,4.0,0,50.4,25.0,Kaggle Competitor
No,No,0.0,0,36.0,31.0,Kaggle Competitor
No,No,0.0,1,39.0,22.0,Kaggle Competitor
No,No,5.0,1,47.9,28.0,Kaggle Competitor
No,No,0.0,4,57.0,22.0,Kaggle Competitor
No,Yes,29.0,2,90.3,8.0,Kaggle Competitor
No,Yes,32.0,1,61.5,21.0,Kaggle Competitor
No,Yes,33.0,1,64.3,32.0,Kaggle Competitor
No,No,0.0,3,52.0,36.0,Kaggle Competitor
No,No,0.0,1,56.0,28.0,Kaggle Competitor
No,No,0.0,2,51.0,24.0,Kaggle Competitor
No,No,0.0,4,44.0,23.0,Kaggle Competitor
No,No,0.0,1,40.0,29.0,Kaggle Competitor
No,No,0.0,1,25.0,14.0,Kaggle Competitor
Yes,Yes,65.0,0,110.0,8.0,Kaggle Competitor
No,No,3.0,1,43.9,15.0,Kaggle Competitor
Yes,No,3.0,1,69.1,17.0,Kaggle Competitor
No,Yes,32.0,2,60.0,26.0,Kaggle Competitor
No,No,0.0,2,60.0,22.0,Kaggle Competitor
No,No,3.0,1,58.1,11.0,Kaggle Competitor
No,Yes,23.0,0,68.4,9.0,Kaggle Competitor
No,No,0.0,3,49.0,28.0,Kaggle Competitor
No,No,0.0,1,41.0,44.0,Kaggle Competitor
No,No,0.0,2,36.0,30.0,Kaggle Competitor
No,No,5.0,1,58.0,20.0,Kaggle Competitor
Yes,No,0.0,4,26.0,37.0,Kaggle Competitor
Yes,Yes,21.0,4,62.3,14.0,Kaggle Competitor
No,No,0.0,2,33.0,21.0,Kaggle Competitor
No,Yes,31.0,3,76.7,30.0,Kaggle Competitor
No,No,0.0,3,44.0,21.0,Kaggle Competitor
No,No,0.0,1,42.0,17.0,Kaggle Competitor
No,No,0.0,1,59.0,18.0,Kaggle Competitor
No,No,0.0,4,52.0,19.0,Kaggle Competitor
No,No,0.0,1,51.0,38.0,Kaggle Competitor
No,No,4.0,3,40.1,21.0,Kaggle Competitor
No,Yes,17.0,5,63.3,17.0,Kaggle Competitor
No,No,0.0,3,53.0,21.0,Kaggle Competitor
No,Yes,36.0,1,72.2,29.0,Kaggle Competitor
No,Yes,33.0,2,75.5,26.0,Kaggle Competitor
No,No,0.0,1,49.0,25.0,Kaggle Competitor
No,Yes,34.0,0,81.4,28.0,Kaggle Competitor
No,Yes,22.0,3,68.4,36.0,Kaggle Competitor
No,No,0.0,1,59.0,24.0,Kaggle Competitor
Yes,No,0.0,2,44.0,27.0,Kaggle Competitor
No,No,0.0,3,54.0,32.0,Kaggle Competitor
No,No,0.0,1,43.0,29.0,Kaggle Competitor
No,No,3.0,1,67.6,19.0,Kaggle Competitor
No,No,0.0,1,50.0,28.0,Kaggle Competitor
No,Yes,36.0,2,88.0,33.0,Kaggle Competitor
No,No,0.0,1,52.0,26.0,Kaggle Competitor
No,No,0.0,1,36.0,27.0,Kaggle Competitor
No,No,0.0,1,46.0,15.0,Kaggle Competitor
No,No,0.0,1,60.0,13.0,Kaggle Competitor
No,No,0.0,5,57.0,22.0,Kaggle Competitor
No,No,0.0,0,56.0,35.0,Kaggle Competitor
Yes,No,0.0,0,77.0,19.0,Kaggle Competitor
