Tenure,Bandwidth_GB_Year,MonthlyCharge,Outage_sec_perweek,Income,Population
6.795512947,904.5361102,172.455519,7.978322947,28561.99,38
1.156680997,800.9827661,242.632554,11.69907956,21704.77,10446
15.75414408,2054.706961,159.947583,10.75280028,9609.57,3735
17.08722662,2164.579412,119.95684,14.91353964,18925.23,13863
1.670971726,271.4934362,149.948316,8.147416533,40074.19,11352
7.000993555,1039.357983,185.007692,8.420992898,22660.2,17701
13.23677381,1907.242972,200.118516,11.18272453,11467.5,2535
4.26425515,979.6127078,114.950905,7.791632265,26759.64,23144
8.220686373,1312.874964,117.468591,5.739005915,58634.51,17351
3.422086139,508.7637913,162.482694,8.707823904,50231.4,20193
19.26726194,2728.767869,174.958118,9.341631685,22580.7,555
10.52199781,1180.588788,149.962093,6.68082638,18342.12,33372
13.01149229,1196.388018,137.439154,8.273875452,83671.08,556
16.87922024,1948.694497,184.971516,5.880565591,115114.57,0
10.06019902,1582.295235,159.965581,11.79073041,64256.81,8165
13.87001293,1840.014467,177.65076,10.79846973,89061.45,2093
15.78214958,2070.376729,194.966286,13.52284721,31659.3,50079
2.303331273,882.0985933,202.682861,9.831166695,44142.81,7249
17.10995632,1833.0967,152.490739,9.57470568,39262.14,9463
12.80615845,1954.080809,149.944668,10.92246098,19494.75,3177
20.45390977,2330.319383,184.978458,12.06889188,39624.21,69
2.415991977,594.1054279,127.495766,6.984819996,45714.47,14440
6.652298992,713.0633088,124.964303,9.372975594,27442.03,381
8.543717478,945.3802928,149.948316,7.109002592,79699.62,2193
5.770390256,870.76398,162.511928,13.74777955,28520.32,9434
4.157658837,774.2937069,92.455141,9.767668044,12558.83,29568
10.40566091,1506.446527,222.649979,15.8626095,8762.23,3089
1.392421597,419.0508708,139.981577,14.73616645,43882.72,5652
1.430386349,1259.415493,200.132293,13.43558029,10482.52,1716
5.425864884,1745.125956,257.651257,10.61771118,33442.79,52484
11.08287797,1795.465729,230.105118,6.613070806,43383.54,11268
3.586184954,492.4771472,147.489301,4.450171647,21793.88,1765
4.727388465,1013.993166,230.105118,8.774646693,51960.51,680
20.89923386,2680.762173,174.958118,11.13156721,25942.1,136
3.471329958,1081.814362,267.664655,5.540788887,11211.59,1517
5.478588204,1209.961168,162.483267,13.80362698,8283.29,14103
3.312991809,897.5919144,229.993134,16.31017089,10114.81,6394
7.161561527,1340.930156,140.00128,9.447065309,36229.21,5059
9.847563364,1113.993679,184.964681,16.84100845,25397.44,20450
16.04202196,1530.10769,147.473844,7.972937227,50336.5,2123
9.179779682,1310.137419,172.457857,11.42906608,38211.37,1164
3.002844144,892.8964931,107.481989,8.06137096,52887.26,23
3.924254455,1125.581944,255.141716,12.54780492,12003.33,895
18.55959629,2016.710031,192.456745,8.255565152,24090.62,6699
8.798394712,1412.736809,242.632554,13.156514,15137.93,35743
10.377366,1710.689671,245.174977,10.58349704,54458.38,320
22.25746016,2384.885909,184.964681,12.50184778,132116.33,7870
9.427146079,1213.940165,195.006206,9.750038902,37358.13,861
